,company_name,rating,location,size,industry,street_number,street_name,town,district,state,postal_code,formatted_address,lat,lng,Gemeindeschlüsselnummer,km²,Einwohner,Landkreis,Grundstückspreise in € pro m²,"Land- und Forstwirtschaft, Fischerei (A)",Produzierendes Gewerbe (B-F),"Handel, Verkehr, Gast- gewerbe (G-I)","Erbrin- gung von Unternehmensdienstleistungen
50,Ergosign,4.2,Saarland,201 to 500 Employees,Information Technology Support Services,1,Science Park,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123.0,"Science Park 1, 66123 Saarbrücken, Germany",49.25525709999999,7.037223200000001,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
51,Enovos Group,2.9,Saarland,1001 to 5000 Employees,Energy & Utilities,3,Am Halberg,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121.0,"Am Halberg 3, 66121 Saarbrücken, Germany",49.2243759,7.0396018,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
52,Welocalize,3.7,Saarland,1001 to 5000 Employees,HR Consulting,10,Nell-Breuning-Allee,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115.0,"Nell-Breuning-Allee 10, 66115 Saarbrücken, Germany",49.23983,6.95532,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
53,Zara,3.4,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",31,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Bahnhofstraße 31, 66111 Saarbrücken, Germany",49.2345,6.994499999999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
54,Be4work,4.2,Saarland,501 to 1000 Employees,HR Consulting,3,Berliner Promenade,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Berliner Promenade 3, 66111 Saarbrücken, Germany",49.2368706,6.991124900000001,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
55,DHC Business Solutions,4.0,Saarland,1 to 50 Employees,Enterprise Software & Network Solutions,6-7,Landwehrplatz,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Landwehrpl. 6-7, 66111 Saarbrücken, Germany",49.2336831,7.002055599999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
56,Toyoda Gosei,3.6,Saarland,10000+ Employees,Transportation Equipment Manufacturing,3,Ernst-Abbe-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115.0,"Ernst-Abbe-Straße 3, 66115 Saarbrücken, Germany",49.2400346,6.9511268,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
57,Roller,2.8,Saarland,1001 to 5000 Employees,Home Furniture & Housewares Stores,21-23,Sulzbachstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Sulzbachstraße 21-23, 66111 Saarbrücken, Germany",49.2382016,6.9962656,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
58,BMW Group,4.2,Saarland,10000+ Employees,Transportation Equipment Manufacturing,6-7,Am Halberg,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121.0,"Am Halberg 6-7, 66121 Saarbrücken, Germany",49.224737,7.0429580000000005,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
59,the LEGO Group,4.4,Saarland,10000+ Employees,Consumer Product Manufacturing,77,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Bahnhofstraße 77, 66111 Saarbrücken, Germany",49.236662,6.992275999999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
60,Kärcher,3.4,Saarland,10000+ Employees,Machinery Manufacturing,269,Provinzialstraße,Ensdorf,Landkreis Saarlouis,Saarland,66806.0,"Provinzialstraße 269, 66806 Ensdorf, Germany",49.29488749999999,6.779050799999999,44123.0,8.39,6502.0,Saarlouis,145,.,200,901,.,390,"Handel, Verkehr, Gast- gewerbe (G-I)",168,"14,0",62.0,"+ 9,6",Ensdorf,1 158
61,MÖBEL MARTIN,3.1,Saarland,1001 to 5000 Employees,Home Furniture & Housewares Stores,300,Provinzialstraße,Ensdorf,Landkreis Saarlouis,Saarland,66806.0,"Provinzialstraße 300, 66806 Ensdorf, Germany",49.2935144,6.777540699999999,44123.0,8.39,6502.0,Saarlouis,145,.,200,901,.,390,"Handel, Verkehr, Gast- gewerbe (G-I)",168,"14,0",62.0,"+ 9,6",Ensdorf,1 158
62,TEDi,2.2,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",122,Stöckerweg,Ensdorf,Landkreis Saarlouis,Saarland,66806.0,"Stöckerweg 122, 66806 Ensdorf, Germany",49.2994678,6.7751148,44123.0,8.39,6502.0,Saarlouis,145,.,200,901,.,390,"Handel, Verkehr, Gast- gewerbe (G-I)",168,"14,0",62.0,"+ 9,6",Ensdorf,1 158
63,Postbank,3.0,Saarland,10000+ Employees,Banking & Lending,48,Poststraße,Sankt Ingbert,Saarpfalz-Kreis,Saarland,66386.0,"Poststraße 48, 66386 St. Ingbert, Germany",49.27775020000001,7.1117107000000015,45117.0,49.95,34971.0,Saarpfalz,150-200,20,7 595,3 736,3 476,3 505,Produzierendes Gewerbe (B-F),1 992,"9,6",68.0,"+ 1,9",St. Ingbert (Mittelstadt),1 858
64,CLEVR,4.5,Saarland,201 to 500 Employees,Information Technology Support Services,43,Poststraße,Sankt Ingbert,Saarpfalz-Kreis,Saarland,66386.0,"Poststraße 43, 66386 St. Ingbert, Germany",49.27742620000001,7.1120831,45117.0,49.95,34971.0,Saarpfalz,150-200,20,7 595,3 736,3 476,3 505,Produzierendes Gewerbe (B-F),1 992,"9,6",68.0,"+ 1,9",St. Ingbert (Mittelstadt),1 858
65,Festo,4.1,Saarland,10000+ Employees,Machinery Manufacturing,29,Gottlieb-Stoll-Straße,Sankt Ingbert,Saarpfalz-Kreis,Saarland,66386.0,"Gottlieb-Stoll-Straße 29, 66386 St. Ingbert, Germany",49.2766001,7.172951299999999,45117.0,49.95,34971.0,Saarpfalz,150-200,20,7 595,3 736,3 476,3 505,Produzierendes Gewerbe (B-F),1 992,"9,6",68.0,"+ 1,9",St. Ingbert (Mittelstadt),1 858
66,abat Group,4.3,Saarland,501 to 1000 Employees,Information Technology Support Services,170-174,Kaiserstraße,Sankt Ingbert,Saarpfalz-Kreis,Saarland,66386.0,"Kaiserstraße 170-174, 66386 St. Ingbert, Germany",49.280124,7.122348,45117.0,49.95,34971.0,Saarpfalz,150-200,20,7 595,3 736,3 476,3 505,Produzierendes Gewerbe (B-F),1 992,"9,6",68.0,"+ 1,9",St. Ingbert (Mittelstadt),1 858
67,I. K. Hofmann,3.9,Saarland,501 to 1000 Employees,HR Consulting,2E,Obere Rischbachstraße,Sankt Ingbert,Saarpfalz-Kreis,Saarland,66386.0,"Ob. Rischbachstraße 2E, 66386 St. Ingbert, Germany",49.2842025,7.1001162,45117.0,49.95,34971.0,Saarpfalz,150-200,20,7 595,3 736,3 476,3 505,Produzierendes Gewerbe (B-F),1 992,"9,6",68.0,"+ 1,9",St. Ingbert (Mittelstadt),1 858
68,IBM,4.0,Saarland,10000+ Employees,Information Technology Support Services,48,Ensheimer Straße,Sankt Ingbert,Saarpfalz-Kreis,Saarland,66386.0,"Ensheimer Str. 48, 66386 St. Ingbert, Germany",49.2706846,7.1084719,45117.0,49.95,34971.0,Saarpfalz,150-200,20,7 595,3 736,3 476,3 505,Produzierendes Gewerbe (B-F),1 992,"9,6",68.0,"+ 1,9",St. Ingbert (Mittelstadt),1 858
69,Takko Fashion,3.3,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",7,Grubenweg,Sankt Ingbert,Saarpfalz-Kreis,Saarland,66386.0,"Grubenweg 7, 66386 St. Ingbert, Germany",49.2822417,7.103695399999999,45117.0,49.95,34971.0,Saarpfalz,150-200,20,7 595,3 736,3 476,3 505,Produzierendes Gewerbe (B-F),1 992,"9,6",68.0,"+ 1,9",St. Ingbert (Mittelstadt),1 858
70,Braintower Technologies,4.5,Saarland,1 to 50 Employees,Information Technology Support Services,9A,Annastraße,Sankt Ingbert,Saarpfalz-Kreis,Saarland,66386.0,"Annastraße 9A, 66386 St. Ingbert, Germany",49.2717499,7.1141041,45117.0,49.95,34971.0,Saarpfalz,150-200,20,7 595,3 736,3 476,3 505,Produzierendes Gewerbe (B-F),1 992,"9,6",68.0,"+ 1,9",St. Ingbert (Mittelstadt),1 858
71,Görtz,3.4,Saarland,1001 to 5000 Employees,"Department, Clothing & Shoe Stores",1,In den Schankgärten,Sankt Ingbert,Saarpfalz-Kreis,Saarland,66386.0,"In den Schankgärten 1, 66386 St. Ingbert, Germany",49.27716239999999,7.099574400000002,45117.0,49.95,34971.0,Saarpfalz,150-200,20,7 595,3 736,3 476,3 505,Produzierendes Gewerbe (B-F),1 992,"9,6",68.0,"+ 1,9",St. Ingbert (Mittelstadt),1 858
72,Bosch,4.4,Saarland,10000+ Employees,Consumer Product Manufacturing,47,Saarbrücker Straße,Lebach,Landkreis Saarlouis,Saarland,66822.0,"Saarbrücker Str. 47, 66822 Lebach, Germany",49.403309,6.9160064,44112.0,64.21,18694.0,Saarlouis,75-100,11,1 031,962,751,1 766,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),381,"11,6",-180.0,"- 9,6",Lebach,1 847
73,Nedschroef,4.0,Saarland,1001 to 5000 Employees,Machinery Manufacturing,1A,Hans-Schardt-Straße,Lebach,Landkreis Saarlouis,Saarland,66822.0,"Hans-Schardt-Straße 1A, 66822 Lebach, Germany",49.4113188,6.8908935,44112.0,64.21,18694.0,Saarlouis,75-100,11,1 031,962,751,1 766,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),381,"11,6",-180.0,"- 9,6",Lebach,1 847
74,Globus Baumarkt,3.1,Saarland,5001 to 10000 Employees,Home Furniture & Housewares Stores,8,Leipziger Straße,Sankt Wendel,Landkreis St. Wendel,Saarland,66606.0,"Leipziger Str. 8, 66606 St. Wendel, Germany",49.4631127,7.1520192,46117.0,113.53,25337.0,St. Wendel,40,51,3 651,2 670,2 750,5 317,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),854,"7,3",-147.0,"- 5,8",St. Wendel (Kreisstadt),1 873
75,Fresenius Medical Care - North America,3.4,Saarland,10000+ Employees,Health Care Services & Hospitals,6-8,Frankfurter Straße,Sankt Wendel,Landkreis St. Wendel,Saarland,66606.0,"Frankfurter Str. 6-8, 66606 St. Wendel, Germany",49.464774600000005,7.146424400000001,46117.0,113.53,25337.0,St. Wendel,40,51,3 651,2 670,2 750,5 317,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),854,"7,3",-147.0,"- 5,8",St. Wendel (Kreisstadt),1 873
76,Proserv,4.2,Saarland,1001 to 5000 Employees,Energy & Utilities,1,Edouard-Michelin-Platz,Homburg,Saarpfalz-Kreis,Saarland,66424.0,"Edouard-Michelin-Platz 1, 66424 Homburg, Germany",49.3423625,7.3478498,45114.0,82.61,41612.0,Saarpfalz,185,13,11 972,4 466,4 310,10 392,Produzierendes Gewerbe (B-F),3 277,"16,0",160.0,"+ 3,8",Homburg (Kreisstadt),9 794
77,Sparkasse,3.7,Saarland,10000+ Employees,Banking & Lending,30,Talstraße,Homburg,Saarpfalz-Kreis,Saarland,66424.0,"Talstraße 30, 66424 Homburg, Germany",49.322942700000006,7.339494899999999,45114.0,82.61,41612.0,Saarpfalz,185,13,11 972,4 466,4 310,10 392,Produzierendes Gewerbe (B-F),3 277,"16,0",160.0,"+ 3,8",Homburg (Kreisstadt),9 794
78,Private,4.1,Saarland,1 to 50 Employees,Health Care Services & Hospitals,34,Eisenbahnstraße,Homburg,Saarpfalz-Kreis,Saarland,66424.0,"Eisenbahnstraße 34, 66424 Homburg, Germany",49.32474910000001,7.3395959999999985,45114.0,82.61,41612.0,Saarpfalz,185,13,11 972,4 466,4 310,10 392,Produzierendes Gewerbe (B-F),3 277,"16,0",160.0,"+ 3,8",Homburg (Kreisstadt),9 794
79,Schaeffler,3.8,Saarland,10000+ Employees,Machinery Manufacturing,134,Berliner Straße,Homburg,Saarpfalz-Kreis,Saarland,66424.0,"Berliner Str. 134, 66424 Homburg, Germany",49.3415884,7.348108499999999,45114.0,82.61,41612.0,Saarpfalz,185,13,11 972,4 466,4 310,10 392,Produzierendes Gewerbe (B-F),3 277,"16,0",160.0,"+ 3,8",Homburg (Kreisstadt),9 794
80,Universitätsklinikum des Saarlandes,3.5,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,100,Kirrberger Straße,Homburg,Saarpfalz-Kreis,Saarland,66421.0,"Kirrberger Str. 100, 66421 Homburg, Germany",49.3064633,7.3450777999999985,45114.0,82.61,41612.0,Saarpfalz,185,13,11 972,4 466,4 310,10 392,Produzierendes Gewerbe (B-F),3 277,"16,0",160.0,"+ 3,8",Homburg (Kreisstadt),9 794
81,Rieke Packaging Systems,2.9,Saarland,201 to 500 Employees,Machinery Manufacturing,13,In der Au,Neunkirchen,Siegen-Wittgenstein,Nordrhein-Westfalen,57290.0,"In d. Au 13, 57290 Neunkirchen, Germany",50.7839463,8.0159856,43114.0,75.26,46098.0,Neunkirchen,90,115,2 137,3 507,1 246,4 594,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),1 106,"11,6",52.0,"+ 1,8",Neunkirchen (Kreisstadt),1 415
82,T.K. Maxx,3.8,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",1,Stummstraße,Neunkirchen,Neunkirchen,Saarland,66538.0,"Saarpark-Center, Stummstraße 1, 66538 Neunkirchen, Germany",49.346155,7.172750199999999,43114.0,75.26,46098.0,Neunkirchen,90,115,2 137,3 507,1 246,4 594,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),1 106,"11,6",52.0,"+ 1,8",Neunkirchen (Kreisstadt),1 415
83,H&M,3.5,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",1,Stummplatz,Neunkirchen,Neunkirchen,Saarland,66538.0,"Stummplatz 1, 66538 Neunkirchen, Germany",49.348387,7.172956799999999,43114.0,75.26,46098.0,Neunkirchen,90,115,2 137,3 507,1 246,4 594,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),1 106,"11,6",52.0,"+ 1,8",Neunkirchen (Kreisstadt),1 415
84,Eberspächer,3.4,Saarland,10000+ Employees,Consumer Product Manufacturing,95,Homburger Straße,Neunkirchen,Neunkirchen,Saarland,66539.0,"Homburger Str. 95, 66539 Neunkirchen, Germany",49.3511229,7.239790400000001,43114.0,75.26,46098.0,Neunkirchen,90,115,2 137,3 507,1 246,4 594,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),1 106,"11,6",52.0,"+ 1,8",Neunkirchen (Kreisstadt),1 415
85,HYDAC,3.4,Saarland,5001 to 10000 Employees,Machinery Manufacturing,1,Am Wrangelflöz,Neunkirchen,Neunkirchen,Saarland,66538.0,"Am Wrangelflöz 1, 66538 Neunkirchen, Germany",49.3385343,7.1638194,43114.0,75.26,46098.0,Neunkirchen,90,115,2 137,3 507,1 246,4 594,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),1 106,"11,6",52.0,"+ 1,8",Neunkirchen (Kreisstadt),1 415
86,Fori Automation,3.8,Saarland,501 to 1000 Employees,Transportation Equipment Manufacturing,3,Viezstraße,Merzig,Merzig-Wadern,Saarland,66663.0,"Viezstraße 3, 66663 Merzig, Germany",49.4660003,6.626773099999999,42113.0,108.98,29609.0,Merzig-Wadern,95,115,2 137,3 507,1 246,4 594,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),1 106,"11,6",52.0,"+ 1,8",Merzig (Kreisstadt),1 036
87,Mediq,3.6,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,10,In der Bruchwies,Merzig,Merzig-Wadern,Saarland,66663.0,"In d. Bruchwies 10, 66663 Merzig, Germany",49.4643804,6.614563899999999,42113.0,108.98,29609.0,Merzig-Wadern,95,115,2 137,3 507,1 246,4 594,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),1 106,"11,6",52.0,"+ 1,8",Merzig (Kreisstadt),1 036
88,OTIS,3.8,Saarland,10000+ Employees,Transportation Equipment Manufacturing,51,Trierer Straße,Merzig,Merzig-Wadern,Saarland,66663.0,"Trierer Str. 51, 66663 Merzig, Germany",49.44486,6.6362,42113.0,108.98,29609.0,Merzig-Wadern,95,115,2 137,3 507,1 246,4 594,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),1 106,"11,6",52.0,"+ 1,8",Merzig (Kreisstadt),1 036
89,Amer Sports,3.6,Saarland,5001 to 10000 Employees,Consumer Product Manufacturing,2,Im Häsfeld,Überherrn,Landkreis Saarlouis,Saarland,66802.0,"Im Häsfeld 2, 66802 Überherrn, Germany",49.2692947,6.7307386,44119.0,34.31,11393.0,Saarlouis,100-150,27,1 380,1 691,236,471,"Handel, Verkehr, Gast- gewerbe (G-I)",761,"7,0",35.0,"+ 3,1",Überherrn,
90,GAN,3.1,Saarland,501 to 1000 Employees,Enterprise Software & Network Solutions,46,Unter den Buchen,Beckingen,Merzig-Wadern,Saarland,66701.0,"Unter den Buchen 46, 66701 Beckingen, Germany",49.4489691,6.7606883,42111.0,51.85,14923.0,Merzig-Wadern,75-100,19,541,422,244,613,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),194,"6,7",140.0,"+ 9,4",Beckingen,1 664
91,OBI,3.9,Saarland,10000+ Employees,Home Furniture & Housewares Stores,65,Piesbacher Straße,Beckingen,Merzig-Wadern,Saarland,66701.0,"Piesbacher Str. 65, 66701 Beckingen, Germany",49.41230179999999,6.782941999999999,42111.0,51.85,14923.0,Merzig-Wadern,75-100,19,541,422,244,613,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),194,"6,7",140.0,"+ 9,4",Beckingen,1 664
92,SAP,4.4,Saarland,10000+ Employees,Enterprise Software & Network Solutions,6,In der Waldwies,Eppelborn,Neunkirchen,Saarland,66571.0,"In d. Waldwies 6, 66571 Eppelborn, Germany",49.4089775,6.979383299999999,43111.0,47.25,16465.0,Neunkirchen,75-100,10,894,492,436,772,Produzierendes Gewerbe (B-F),149,"5,0",69.0,"+ 4,2",Eppelborn,1 712
93,Mercedes-Benz Mobility,4.1,Saarland,5001 to 10000 Employees,Banking & Lending,32,Sulzbachtalstraße,Sulzbach/Saar,Regionalverband Saarbrücken,Saarland,66280.0,"Sulzbachtalstraße 32, 66280 Sulzbach/Saar, Germany",49.2965139,7.055889,41518.0,16.07,16256.0,RV Saarbrücken,75-100,-,3 674,1 065,1 481,1 761,Produzierendes Gewerbe (B-F),713,"14,7",139.0,"+ 8,5",Sulzbach/Saar,792
94,Kraftblock,4.5,Saarland,1 to 50 Employees,Energy & Utilities,2,Industriestraße,Sulzbach/Saar,Regionalverband Saarbrücken,Saarland,66280.0,"Industriestraße 2, 66280 Sulzbach/Saar, Germany",49.2894588,7.074357999999998,41518.0,16.07,16256.0,RV Saarbrücken,75-100,-,3 674,1 065,1 481,1 761,Produzierendes Gewerbe (B-F),713,"14,7",139.0,"+ 8,5",Sulzbach/Saar,792
95,Kik,2.9,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",65,Sulzbachtalstraße,Sulzbach/Saar,Regionalverband Saarbrücken,Saarland,66280.0,"Sulzbachtalstraße 65, 66280 Sulzbach/Saar, Germany",49.2987433,7.059567200000001,41518.0,16.07,16256.0,RV Saarbrücken,75-100,-,3 674,1 065,1 481,1 761,Produzierendes Gewerbe (B-F),713,"14,7",139.0,"+ 8,5",Sulzbach/Saar,792
96,Arvato,3.2,Saarland,10000+ Employees,Information Technology Support Services,60,Lebacher Straße,Heusweiler,Regionalverband Saarbrücken,Saarland,66265.0,"Lebacher Str. 60, 66265 Heusweiler, Germany",49.363063200000006,6.933271299999999,41513.0,40.01,17998.0,RV Saarbrücken,100-150,19,648,944,597,821,"Handel, Verkehr, Gast- gewerbe (G-I)",218,"6,6",67.0,"+ 3,7",Heusweiler,2 064
97,Majorel,3.7,Saarland,10000+ Employees,HR Consulting,60,Lebacher Straße,Heusweiler,Regionalverband Saarbrücken,Saarland,66265.0,"Lebacher Str. 60, 66265 Heusweiler, Germany",49.36386479999999,6.9339108,41513.0,40.01,17998.0,RV Saarbrücken,100-150,19,648,944,597,821,"Handel, Verkehr, Gast- gewerbe (G-I)",218,"6,6",67.0,"+ 3,7",Heusweiler,2 064
98,Signal Iduna,4.1,Saarland,1001 to 5000 Employees,Banking & Lending,126,Sommerbergstraße,Püttlingen,Regionalverband Saarbrücken,Saarland,66346.0,"Sommerbergstraße 126, 66346 Püttlingen, Germany",49.2894943,6.9107052,41515.0,23.95,18269.0,RV Saarbrücken,100-150,18,916,724,388,1 805,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),325,"6,7",116.0,"+ 6,3",Püttlingen,1 914
99,Dürr,4.0,Saarland,10000+ Employees,Machinery Manufacturing,122-128,Köllner Straße,Püttlingen,Regionalverband Saarbrücken,Saarland,66346.0,"Köllner Str. 122-128, 66346 Püttlingen, Germany",49.29707,6.8803,41515.0,23.95,18269.0,RV Saarbrücken,100-150,18,916,724,388,1 805,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),325,"6,7",116.0,"+ 6,3",Püttlingen,1 914
100,NOWEDA eG,3.7,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,1,Robert-Koch-Straße,Friedrichsthal,Regionalverband Saarbrücken,Saarland,66299.0,"Robert-Koch-Straße 1, 66299 Friedrichsthal, Germany",49.33208,7.08257,41511.0,8.99,9955.0,RV Saarbrücken,75-100,3,567,854,264,542,"Handel, Verkehr, Gast- gewerbe (G-I)",200,"6,6",81.0,"+ 8,1",Friedrichsthal,1 140
101,Praktiker,3.9,Saarland,10000+ Employees,Home Furniture & Housewares Stores,2,Am Tannenwald,Kirkel,Saarpfalz-Kreis,Saarland,66459.0,"Am Tannenwald 2, 66459 Kirkel, Germany",49.28740139999999,7.216736199999999,45115.0,31.34,9992.0,Saarpfalz,150-200,21,1 142,820,1 032,531,Produzierendes Gewerbe (B-F),573,"6,1",13.0,"+ 1,3",Kirkel,1 398
102,E.ON,3.8,Saarland,10000+ Employees,Energy & Utilities,35,Brunnenstraße,Nonnweiler,Landkreis St. Wendel,Saarland,66620.0,"Brunnenstraße 35, 66620 Nonnweiler, Germany",49.60072529999999,6.9955369,46115.0,66.4,8458.0,St. Wendel,<50,38,2 634,523,247,608,Produzierendes Gewerbe (B-F),288,"4,8",105.0,"+ 12,4",Nonnweiler,1 811
103,Freelancer,4.2,Saarland,501 to 1000 Employees,HR Consulting,40,Salbacher Straße,Riegelsberg,Regionalverband Saarbrücken,Saarland,66292.0,"Salbacher Str. 40, 66292 Riegelsberg, Germany",49.3275254,6.915651899999999,41517.0,14.65,14268.0,RV Saarbrücken,100-150,.,291,472,.,774,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),198,"7,6",102.0,"+ 7,1",Riegelsberg,1 914
104,Kuhn,3.9,Saarland,1001 to 5000 Employees,Consumer Product Manufacturing,88,Talstraße,Blieskastel,Saarpfalz-Kreis,Saarland,66440.0,"Talstraße 88, 66440 Blieskastel, Germany",49.23885139999999,7.237203900000001,45112.0,108.21,20153.0,Saarpfalz,100-150,43,2 178,1 741,281,1 613,Produzierendes Gewerbe (B-F),631,"5,6",-9.0,"- 0,4",Blieskastel,2 918
105,Atos,3.7,Saarland,10000+ Employees,Information Technology Support Services,5,Industriestraße,Blieskastel,Saarpfalz-Kreis,Saarland,66440.0,"Industriestraße 5/7, 66440 Blieskastel, Germany",49.24621399999999,7.218284099999999,45112.0,108.21,20153.0,Saarpfalz,100-150,43,2 178,1 741,281,1 613,Produzierendes Gewerbe (B-F),631,"5,6",-9.0,"- 0,4",Blieskastel,2 918
106,Saarschmiede Freiformschmiede,4.0,Saarland,1001 to 5000 Employees,Energy & Utilities,57-59,Bismarckstraße,Völklingen,Regionalverband Saarbrücken,Saarland,66333.0,"Bismarckstraße 57-59, 66333 Völklingen, Germany",49.2529984,6.8469117,41519.0,67.1,39428.0,RV Saarbrücken,100-150,35,5 442,3 455,2 075,3 649,Produzierendes Gewerbe (B-F),1 791,"19,2",54.0,"+ 1,4",Völklingen (Mittelstadt),1 925
107,Villeroy & Boch,3.9,Saarland,5001 to 10000 Employees,Consumer Product Manufacturing,20,Saarstraße,Wadgassen,Landkreis Saarlouis,Saarland,66787.0,"Saarstraße 20, 66787 Wadgassen, Germany",49.2705287,6.7936564,44120.0,25.91,16900.0,Saarlouis,100-150,.,441,521,.,920,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),257,"8,5",19.0,"+ 1,1",Wadgassen,
108,Unimed,4.3,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,17,Auf der Heide,Wadern,Merzig-Wadern,Saarland,66687.0,"Tennishalle, Auf d. Heide 17, 66687 Wadern, Germany",49.5353342,6.871196200000001,42116.0,111.14,15697.0,Merzig-Wadern,50-75,18,1 945,1 258,2 018,983,"Erbrin- gung von Unternehmensdienstleistungen
(J-N)",461,"6,7",86.0,"+ 5,5",Wadern,
109,Lands' End,3.4,Saarland,5001 to 10000 Employees,"Department, Clothing & Shoe Stores",7,Marktplatz,Mettlach,Merzig-Wadern,Saarland,66693.0,"Marktpl. 7, 66693 Mettlach, Germany",49.492931,6.5916542,42114.0,77.82,12044.0,Merzig-Wadern,75-100,6,2 231,824,152,824,Produzierendes Gewerbe (B-F),501,"16,2",117.0,"+ 9,7",Mettlach,536
