,Unnamed: 0,company_name,rating,location,size,industry,street_number,street_name,town,district,state,postal_code,formatted_address,lat,lng,Gemeinde,Gemeindeschlüsselnummer,km²,Einwohner,Landkreis,Grundstückspreise in € pro m²,"Land- und Forstwirtschaft, Fischerei (A)",Produzierendes Gewerbe (B-F),"Handel, Verkehr, Gast- gewerbe (G-I)","Erbrin- gung von Unternehmensdienstleistungen
94,94,Ludwig Pieper,3,Saarland,201 to 500 Employees,"Department, Clothing & Shoe Stores",,Großer Markt,Saarlouis,Landkreis Saarlouis,Saarland,66740,"Großer Markt, 66740 Saarlouis, Germany",49.3155869,6.750497,Saarlouis (Kreisstadt),44115,43.3,34445,Saarlouis,145,,,,,,,,,,
95,95,E.ON,3.8,Saarland,10000+ Employees,Energy & Utilities,35,Brunnenstraße,Nonnweiler,Landkreis St. Wendel,Saarland,66620,"Brunnenstraße 35, 66620 Nonnweiler, Germany",49.6007253,6.9955369,Nonnweiler,46115,66.4,8458,St. Wendel,<50,38,2 634,523,247,608,Manufacturing industry,288,"4,8",105,"+ 12,4"
96,96,Greencells Group,3.3,Saarland,201 to 500 Employees,Energy & Utilities,9,Betzenstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstr. 28, Betzenstraße 9/Eingang über, 66111 Saarbrücken, Germany",49.2344422,6.9954395,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
97,97,Freelancer,4.2,Saarland,501 to 1000 Employees,HR Consulting,40,Salbacher Straße,Riegelsberg,Regionalverband Saarbrücken,Saarland,66292,"Salbacher Str. 40, 66292 Riegelsberg, Germany",49.3275254,6.9156519,Riegelsberg,41517,14.65,14268,RV Saarbrücken,100-150,.,291,472,.,774,Provision of Public and Private Services,198,"7,6",102,"+ 7,1"
98,98,OTIS,3.8,Saarland,10000+ Employees,Transportation Equipment Manufacturing,51,Trierer Straße,Merzig,Merzig-Wadern,Saarland,66663,"Trierer Str. 51, 66663 Merzig, Germany",49.44486,6.6362,Merzig (Kreisstadt),42113,108.98,29609,Merzig-Wadern,95,115,2 137,3 507,1 246,4 594,Provision of Public and Private Services,1 106,"11,6",52,"+ 1,8"
99,99,BAD Gruppe,3.6,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,1,Stengelstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66117,"Stengelstraße 1, 66117 Saarbrücken, Germany",49.23326,6.99006,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
100,100,Rohde & Schwarz,4.1,Saarland,10000+ Employees,Enterprise Software & Network Solutions,12,Berliner Promenade,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Berliner Promenade 12, 66111 Saarbrücken, Germany",49.235622,6.9924583,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
101,101,Manpower,4.2,Saarland,10000+ Employees,HR Consulting,40,Großherzog-Friedrich-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Großherzog-Friedrich-Straße 40, 66111 Saarbrücken, Germany",49.2330312,7.0022677,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
102,102,URGO,3.7,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,67,Metzer Straße,Saarlouis,Landkreis Saarlouis,Saarland,66740,"Metzer Str. 67, 66740 Saarlouis, Germany",49.3033976,6.737998,Saarlouis (Kreisstadt),44115,43.3,34445,Saarlouis,145,,,,,,,,,,
103,103,Fresenius Medical Care - North America,3.4,Saarland,10000+ Employees,Health Care Services & Hospitals,8-Jun,Frankfurter Straße,Sankt Wendel,Landkreis St. Wendel,Saarland,66606,"Frankfurter Str. 6-8, 66606 St. Wendel, Germany",49.4647746,7.1464244,St. Wendel (Kreisstadt),46117,113.53,25337,St. Wendel,40,51,3 651,2 670,2 750,5 317,Provision of Public and Private Services,854,"7,3",-147,"- 5,8"
104,104,OBI,3.9,Saarland,10000+ Employees,Home Furniture & Housewares Stores,65,Piesbacher Straße,Beckingen,Merzig-Wadern,Saarland,66701,"Piesbacher Str. 65, 66701 Beckingen, Germany",49.4123018,6.782942,Beckingen,42111,51.85,14923,Merzig-Wadern,75-100,19,541,422,244,613,Provision of Public and Private Services,194,"6,7",140,"+ 9,4"
105,105,Deichmann,3.2,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",1:00 AM,Breslauer Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121,"EG , Saar-Basar, Breslauer Str. 1 A, 66121 Saarbrücken, Germany",49.2279593,7.036621,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
106,106,Kuhn,3.9,Saarland,1001 to 5000 Employees,Consumer Product Manufacturing,88,Talstraße,Blieskastel,Saarpfalz-Kreis,Saarland,66440,"Talstraße 88, 66440 Blieskastel, Germany",49.2388514,7.2372039,Blieskastel,45112,108.21,20153,Saarpfalz,100-150,43,2 178,1 741,281,1 613,Manufacturing industry,631,"5,6",-9,"- 0,4"
107,107,H&M,3.5,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",1,Stummplatz,Neunkirchen,Neunkirchen,Saarland,66538,"Stummplatz 1, 66538 Neunkirchen, Germany",49.348387,7.1729568,Neunkirchen (Kreisstadt),43114,75.26,46098,Neunkirchen,90,115,2 137,3 507,1 246,4 594,Provision of Public and Private Services,1 106,"11,6",52,"+ 1,8"
108,108,TALLY WEiJL,2.7,Saarland,1001 to 5000 Employees,"Department, Clothing & Shoe Stores",1,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 1, 66111 Saarbrücken, Germany",49.2331888,6.9956561,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
109,109,Michelin,4.1,Saarland,10000+ Employees,Machinery Manufacturing,5,Nauwieserstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Nauwieserstraße 5, 66111 Saarbrücken, Germany",49.2349398,6.9997051,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
110,110,Kraftblock,4.5,Saarland,1 to 50 Employees,Energy & Utilities,2,Industriestraße,Sulzbach/Saar,Regionalverband Saarbrücken,Saarland,66280,"Industriestraße 2, 66280 Sulzbach/Saar, Germany",49.2894588,7.074358,Sulzbach/Saar,41518,16.07,16256,RV Saarbrücken,75-100,-,3 674,1 065,1 481,1 761,Manufacturing industry,713,"14,7",139,"+ 8,5"
111,111,ZF Group,3.9,Saarland,10000+ Employees,Transportation Equipment Manufacturing,12,Untertürkheimer Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66117,"Car Powertrain Technology Werk 3, Untertürkheimer Str. 12, 66117 Saarbrücken, Germany",49.21434,6.9734773,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
112,112,Eberspächer,3.4,Saarland,10000+ Employees,Consumer Product Manufacturing,95,Homburger Straße,Neunkirchen,Neunkirchen,Saarland,66539,"Homburger Str. 95, 66539 Neunkirchen, Germany",49.3511229,7.2397904,Neunkirchen (Kreisstadt),43114,75.26,46098,Neunkirchen,90,115,2 137,3 507,1 246,4 594,Provision of Public and Private Services,1 106,"11,6",52,"+ 1,8"
113,113,TEDi,2.2,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",122,Stöckerweg,Ensdorf,Landkreis Saarlouis,Saarland,66806,"Stöckerweg 122, 66806 Ensdorf, Germany",49.2994678,6.7751148,Ensdorf,44123,8.39,6502,Saarlouis,145,.,200,901,.,390,"Trade, Transport, Hospitality",168,"14,0",62,"+ 9,6"
114,114,Piening Personal,3.4,Saarland,5001 to 10000 Employees,HR Consulting,7,Berliner Promenade,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Berliner Promenade 7, 66111 Saarbrücken, Germany",49.2365061,6.9918238,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
115,115,Saarschmiede Freiformschmiede,4,Saarland,1001 to 5000 Employees,Energy & Utilities,57-59,Bismarckstraße,Völklingen,Regionalverband Saarbrücken,Saarland,66333,"Bismarckstraße 57-59, 66333 Völklingen, Germany",49.2529984,6.8469117,Völklingen (Mittelstadt),41519,67.1,39428,RV Saarbrücken,100-150,35,5 442,3 455,2 075,3 649,Manufacturing industry,1 791,"19,2",54,"+ 1,4"
116,116,Ergosign,4.2,Saarland,201 to 500 Employees,Information Technology Support Services,1,Science Park,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123,"Science Park 1, 66123 Saarbrücken, Germany",49.2552571,7.0372232,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
117,117,Villeroy & Boch,3.9,Saarland,5001 to 10000 Employees,Consumer Product Manufacturing,20,Saarstraße,Wadgassen,Landkreis Saarlouis,Saarland,66787,"Saarstraße 20, 66787 Wadgassen, Germany",49.2705287,6.7936564,Wadgassen,44120,25.91,16900,Saarlouis,100-150,.,441,521,.,920,Provision of Public and Private Services,257,"8,5",19,"+ 1,1"
118,118,Enovos Group,2.9,Saarland,1001 to 5000 Employees,Energy & Utilities,3,Am Halberg,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121,"Am Halberg 3, 66121 Saarbrücken, Germany",49.2243759,7.0396018,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
119,119,thyssenkrupp,3.9,Saarland,10000+ Employees,Machinery Manufacturing,,Neue Industriestraße,Homburg,Saarpfalz-Kreis,Saarland,66424,"Neue Industriestraße, 66424 Homburg, Germany",49.3078082,7.3251795,Homburg (Kreisstadt),45114,82.61,41612,Saarpfalz,185,13,11 972,4 466,4 310,10 392,Manufacturing industry,3 277,"16,0",160,"+ 3,8"
120,120,natif.ai,4.6,Saarland,1 to 50 Employees,Enterprise Software & Network Solutions,,,Saarbrücken,Regionalverband Saarbrücken,Saarland,66123,"Campus Starterzentrum Gebäude A1, 1, 66123 Saarbrücken, Germany",49.2558842,7.0389952,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
121,121,Welocalize,3.7,Saarland,1001 to 5000 Employees,HR Consulting,10,Nell-Breuning-Allee,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115,"Nell-Breuning-Allee 10, 66115 Saarbrücken, Germany",49.23983,6.95532,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
122,122,Zara,3.4,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",31,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 31, 66111 Saarbrücken, Germany",49.2345,6.9945,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
123,123,Seco Tools,4.5,Saarland,1001 to 5000 Employees,Machinery Manufacturing,8B,Rue de Neuwiller,Bouxwiller,,Grand Est,67330,"8B Rue de Neuwiller, 67330 Bouxwiller, France",48.8256741,7.4744176,,,,,,,,,,,,,,,,
124,124,Unimed,4.3,Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,17,Auf der Heide,Wadern,Merzig-Wadern,Saarland,66687,"Tennishalle, Auf d. Heide 17, 66687 Wadern, Germany",49.5353342,6.8711962,Wadern,42116,111.14,15697,Merzig-Wadern,50-75,18,1 945,1 258,2 018,983,Provision of Public and Private Services,461,"6,7",86,"+ 5,5"
125,125,Be4work,4.2,Saarland,501 to 1000 Employees,HR Consulting,3,Berliner Promenade,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Berliner Promenade 3, 66111 Saarbrücken, Germany",49.2368706,6.9911249,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
126,126,Nedschroef,4,Saarland,1001 to 5000 Employees,Machinery Manufacturing,1A,Hans-Schardt-Straße,Lebach,Landkreis Saarlouis,Saarland,66822,"Hans-Schardt-Straße 1A, 66822 Lebach, Germany",49.4113188,6.8908935,Lebach,44112,64.21,18694,Saarlouis,75-100,11,1 031,962,751,1 766,Provision of Public and Private Services,381,"11,6",-180,"- 9,6"
127,127,Bonita,2.6,Saarland,501 to 1000 Employees,"Department, Clothing & Shoe Stores",52,Stummstraße,Dillingen/Saar,Landkreis Saarlouis,Saarland,66763,"Stummstraße 52, 66763 Dillingen/Saar, Germany",49.3539859,6.7281195,Dillingen/Saar,44111,22.05,19668,Saarlouis,100-150,,8 181,1 836,1 307,3 142,Manufacturing industry,1 532,"16,9",58,"+ 2,9"
128,128,DHC Business Solutions,4,Saarland,1 to 50 Employees,Enterprise Software & Network Solutions,7-Jun,Landwehrplatz,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Landwehrpl. 6-7, 66111 Saarbrücken, Germany",49.2336831,7.0020556,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
129,129,Görtz,3.4,Saarland,1001 to 5000 Employees,"Department, Clothing & Shoe Stores",1,In den Schankgärten,Sankt Ingbert,Saarpfalz-Kreis,Saarland,66386,"In den Schankgärten 1, 66386 St. Ingbert, Germany",49.2771624,7.0995744,St. Ingbert (Mittelstadt),45117,49.95,34971,Saarpfalz,150-200,20,7 595,3 736,3 476,3 505,Manufacturing industry,1 992,"9,6",68,"+ 1,9"
130,130,Toyoda Gosei,3.6,Saarland,10000+ Employees,Transportation Equipment Manufacturing,3,Ernst-Abbe-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115,"Ernst-Abbe-Straße 3, 66115 Saarbrücken, Germany",49.2400346,6.9511268,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
131,131,Goodyear,3.7,Saarland,10000+ Employees,Transportation Equipment Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,
132,132,Roller,2.8,Saarland,1001 to 5000 Employees,Home Furniture & Housewares Stores,21-23,Sulzbachstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Sulzbachstraße 21-23, 66111 Saarbrücken, Germany",49.2382016,6.9962656,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
133,133,Lands' End,3.4,Saarland,5001 to 10000 Employees,"Department, Clothing & Shoe Stores",7,Marktplatz,Mettlach,Merzig-Wadern,Saarland,66693,"Marktpl. 7, 66693 Mettlach, Germany",49.492931,6.5916542,Mettlach,42114,77.82,12044,Merzig-Wadern,75-100,6,2 231,824,152,824,Manufacturing industry,501,"16,2",117,"+ 9,7"
134,134,BMW Group,4.2,Saarland,10000+ Employees,Transportation Equipment Manufacturing,7-Jun,Am Halberg,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121,"Am Halberg 6-7, 66121 Saarbrücken, Germany",49.224737,7.042958,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
135,135,Johnson Controls,3.6,Saarland,10000+ Employees,Machinery Manufacturing,,Henry-Ford-Straße,Saarlouis,Landkreis Saarlouis,Saarland,66740,"Henry-Ford-Straße, 66740 Saarlouis, Germany",49.3438326,6.7555431,Saarlouis (Kreisstadt),44115,43.3,34445,Saarlouis,145,,,,,,,,,,
136,136,the LEGO Group,4.4,Saarland,10000+ Employees,Consumer Product Manufacturing,77,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111,"Bahnhofstraße 77, 66111 Saarbrücken, Germany",49.236662,6.992276,Regionalverband Saarbrücken,41100,167.52,179634,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Provision of Public and Private Services,18 551,"19,2",-277,"- 1,5"
137,137,Kik,2.9,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",65,Sulzbachtalstraße,Sulzbach/Saar,Regionalverband Saarbrücken,Saarland,66280,"Sulzbachtalstraße 65, 66280 Sulzbach/Saar, Germany",49.2987433,7.0595672,Sulzbach/Saar,41518,16.07,16256,RV Saarbrücken,75-100,-,3 674,1 065,1 481,1 761,Manufacturing industry,713,"14,7",139,"+ 8,5"
138,138,Majorel,3.7,Saarland,10000+ Employees,HR Consulting,60,Lebacher Straße,Heusweiler,Regionalverband Saarbrücken,Saarland,66265,"Lebacher Str. 60, 66265 Heusweiler, Germany",49.3638648,6.9339108,Heusweiler,41513,40.01,17998,RV Saarbrücken,100-150,19,648,944,597,821,"Trade, Transport, Hospitality",218,"6,6",67,"+ 3,7"
139,139,Audi,4.2,Saarland,10000+ Employees,Transportation Equipment Manufacturing,1,Münchener Straße,Dillingen/Saar,Landkreis Saarlouis,Saarland,66763,"Münchener Str. 1, 66763 Dillingen/Saar, Germany",49.3721408,6.7246784,Dillingen/Saar,44111,22.05,19668,Saarlouis,100-150,,8 181,1 836,1 307,3 142,Manufacturing industry,1 532,"16,9",58,"+ 2,9"
140,140,HYDAC,3.4,Saarland,5001 to 10000 Employees,Machinery Manufacturing,1,Am Wrangelflöz,Neunkirchen,Neunkirchen,Saarland,66538,"Am Wrangelflöz 1, 66538 Neunkirchen, Germany",49.3385343,7.1638194,Neunkirchen (Kreisstadt),43114,75.26,46098,Neunkirchen,90,115,2 137,3 507,1 246,4 594,Provision of Public and Private Services,1 106,"11,6",52,"+ 1,8"
141,141,Atos,3.7,Saarland,10000+ Employees,Information Technology Support Services,5,Industriestraße,Blieskastel,Saarpfalz-Kreis,Saarland,66440,"Industriestraße 5/7, 66440 Blieskastel, Germany",49.246214,7.2182841,Blieskastel,45112,108.21,20153,Saarpfalz,100-150,43,2 178,1 741,281,1 613,Manufacturing industry,631,"5,6",-9,"- 0,4"
